Department,FullTimePartTime,Tenure,ManagementLevel,HiltonCSR,WellInformed,JobSatisfaction,RewardsJustice,GenX,Millennial,GenZ,MCPaysat,all_eng,all_workenv,all_treat,all_adeq,all_reward,all_learn,all_wrklfe,all_mgt,ClearJobExpectations,IntentToStayHighLow
21,3.0,7.0,4,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
25,3.0,7.0,3,5.0,4.0,4.0,4.0,1,0,0,1.38,4.0,4.142857142857143,4.5,4.0,4.5,4.375,4.0,4.875,4.5,1
21,3.0,8.0,3,5.0,5.0,5.0,5.0,0,1,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
21,3.0,8.0,4,5.0,5.0,5.0,5.0,0,1,0,1.38,5.0,4.714285714285714,5.0,4.0,5.0,5.0,5.0,4.375,5.0,1
21,3.0,4.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
15,4.0,7.0,1,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
34,3.0,5.0,4,4.0,5.0,4.0,5.0,0,1,0,-0.6200000000000001,4.3,4.428571428571429,4.5,5.0,4.0,4.375,4.5,4.75,4.5,0
16,3.0,3.0,2,3.0,4.0,4.0,4.0,0,0,0,0.3799999999999999,4.3,4.285714285714286,3.75,4.0,3.5,3.875,4.0,3.875,4.0,0
21,3.0,6.0,2,4.0,4.0,5.0,3.0,0,1,0,1.38,4.5,4.714285714285714,5.0,4.0,5.0,4.1875,5.0,5.0,5.0,1
25,3.0,8.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
21,3.0,7.0,3,5.0,5.0,5.0,4.0,1,0,0,1.38,5.0,4.714285714285714,5.0,4.5,5.0,4.375,4.5,4.5,4.0,1
8,3.0,7.0,4,5.0,4.0,5.0,5.0,0,1,0,0.3799999999999999,4.5,3.7142857142857144,3.75,2.5,4.0,3.1875,4.0,3.125,4.0,0
3,3.0,8.0,4,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,4.428571428571429,4.5,5.0,5.0,4.5,4.5,4.0,4.0,0
25,3.0,4.0,3,4.0,4.0,5.0,5.0,0,0,0,1.38,5.0,5.0,4.75,4.0,5.0,4.3125,5.0,4.625,5.0,1
19,5.0,3.0,2,5.0,5.0,5.0,5.0,0,0,1,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
21,3.0,4.0,4,5.0,5.0,5.0,5.0,0,1,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
7,3.0,6.0,3,5.0,4.0,4.0,1.0,0,1,0,0.3799999999999999,4.8,4.142857142857143,4.75,3.0,5.0,3.9375,4.5,5.0,5.0,1
21,3.0,8.0,1,4.0,4.0,4.0,4.0,0,0,0,0.3799999999999999,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
